"Project Lead","Institution","Approved_Date","year","month_str","month_int"
"Shunya Tsuji","Joint Faculty of Veterinary Medicine, Yamaguchi University","2/4/2026",2026,"Feb",2
"Tetsuo Hasegawa","University of Cambridge","1/29/2026",2026,"Jan",1
"Niket Rajeevan","Immunara","1/22/2026",2026,"Jan",1
"Lynn Hassman","University of Colorado","1/20/2026",2026,"Jan",1
"Arjun Baghela","Merck Research Labs","1/13/2026",2026,"Jan",1
"Noriko Komatsu","Institute of Science Tokyo","1/9/2026",2026,"Jan",1
"Radjesh Bisoendial, MD, PhD","Depts. Developmental Biology & Genetics, Erasmus MC, Rotterdam, Netherlands and Rheumatology & Clinical Immunology, Rotterdam, Netherlands","11/5/2025",2025,"Nov",11
"Naomi McGovern","Department of Pathology, University of Cambridge, UK","11/5/2025",2025,"Nov",11
"Jennifer Westoby","Enhanced Genomics Ltd","10/8/2025",2025,"Oct",10
"Sarah Djeddi","Immunitas Therapeutics","10/2/2025",2025,"Oct",10
"Joseph Cursons","Audax Biosciences","9/10/2025",2025,"Sep",9
"Ernst Dow","Eli Lilly and Company","9/10/2025",2025,"Sep",9
"Robert Lochhead","Medical College of Wisconsin","8/2/2025",2025,"Aug",8
"Enrico Ferrero","Novartis","7/18/2025",2025,"Jul",7
"Ido Amit","Weizmann  institute of science","7/18/2025",2025,"Jul",7
"Éric Boilard","Centre de Recherche du CHU de Québec-Universite Laval","7/1/2025",2025,"Jul",7
"PIs: Richard Bucala, Insoo Kang","Yale University School of Medicine","6/17/2025",2025,"Jun",6
"Joseph Craft","Yale University School of medicine","6/17/2025",2025,"Jun",6
"Koichi Murata","Kyoto Uiversity Graduate School of Medicine","5/30/2025",2025,"May",5
"Paul Hoover","Brigham and Women's Hospital","5/24/2025",2025,"May",5
"Han Taeho","Korea Institute of Science and Technology, Seoul, South Korea","5/24/2025",2025,"May",5
"Brendan Antiochos","Johns Hopkins School of Medicine","5/3/2025",2025,"May",5
"Wei Wang","University of California, San Diego","4/19/2025",2025,"Apr",4
"Paul Martin","University of Manchester","3/22/2025",2025,"Mar",3
"Takumi Ito","Juntendo University","2/25/2025",2025,"Feb",2
"Yuhan Hao","Neptune Bio","11/2/2024",2024,"Nov",11
"Quan Jiang","Guang'anmen Hospital China Academy of Chinese Medical Sciences, Beijing, China.","11/2/2024",2024,"Nov",11
"Mohini Gray","University of Edinburgh","11/2/2024",2024,"Nov",11
"Chunhao Cao","School of Chinese Medicine, Hong Kong Baptist University, Hong Kong, Hong Kong SAR, China","6/22/2024",2024,"Jun",6
"Dr. Ge Gao","Peking University","6/22/2024",2024,"Jun",6
"Philip De Jager","Columbia University","2/2/2023",2023,"Feb",2
"Paula Ramos","Emory University","3/31/2026",2026,"Mar",3
"Paul Martin","University of Manchester","3/31/2026",2026,"Mar",3
"Janna Heide","University Medical Center Hamburg-Eppendorf","3/31/2026",2026,"Mar",3
"Nilufer Ertekin-Taner, MD, PhD","Mayo Clinic Florida","3/30/2026",2026,"Mar",3
"Stefanie Meier","Epana. Bio","3/20/2026",2026,"Mar",3
"Xue Han","The Ohio State University","3/18/2026",2026,"Mar",3
"Hisakata Yamada","Kyushu University","3/22/2025",2025,"Mar",3
"Jan Klocke","Charité Universitätsmedizin Berlin,  Department of Nephrology and Medical Intensive Care","3/22/2025",2025,"Mar",3
"Dan Rozelle","Rancho BioSciences, LLC","3/22/2025",2025,"Mar",3
"Maria Gutierrez-Arcelus","Boston Children's Hospital","11/9/2024",2024,"Nov",11
"Shiquan Sun","Center for Single-Cell Omics and Health, Xi'an Jiaotong University","12/5/2023",2023,"Dec",12
"Patrick M. Gaffney, PhD","Oklahoma Medical Research Foundation","2/10/2023",2023,"Feb",2
"Jeanne Latourelle","GNS Healthcare, Inc. d/b/a Aitia","4/30/2026",2026,"Apr",4
"Yuta Kochi","Institute of Science Tokyo","4/30/2026",2026,"Apr",4
"Kazuyoshi Ishigaki","Keio University School of Medicine","4/30/2026",2026,"Apr",4
"Navya Shah","Karmyx BioLabs","4/30/2026",2026,"Apr",4
"George Tsokos","Beth Israel Deaconess Medical Center, Harvard Medical School","4/28/2026",2026,"Apr",4
"Sean McClain","Absci","4/28/2026",2026,"Apr",4
"Paul Martin","University of Manchester","4/28/2026",2026,"Apr",4
"Wolfgang Merkt","Department of Internal Medicine V, Heidelberg University Hospital","4/22/2026",2026,"Apr",4
"Dr. Stanley Nelson","UCLA","4/14/2026",2026,"Apr",4
"Bishoy Kamal","Sage Bionetworks","4/14/2026",2026,"Apr",4
"Jack Collora","Moderna Theraputics","4/14/2026",2026,"Apr",4
"Santiago Balza Pineda","Allosite Therapeutics","4/14/2026",2026,"Apr",4
"Matthew Lee","University of Pennsylvania","4/14/2026",2026,"Apr",4
"Matteo Villa","Medical University of Graz","4/14/2026",2026,"Apr",4
"Inez den Hond","Technical University Delft (Pattern Recognition and Bioinformatics)","4/14/2026",2026,"Apr",4
"Stefanie Meier","Epana. Bio","4/14/2026",2026,"Apr",4
"Iris Lee","Washington University in Saint Louis","4/13/2026",2026,"Apr",4
"Wei Wang","University of California, San Diego","4/7/2026",2026,"Apr",4
"Mark D. Robinson","University of Zurich","4/3/2026",2026,"Apr",4
"Chinky Liu","Boston Children's Hospital","3/5/2026",2026,"Mar",3
"Yoesik Bae","Sungkyunkwan university (Suwon, Republic of Korea)","5/28/2026",2026,"May",5
"Luke Robinson","Visterra, Inc.","5/27/2026",2026,"May",5
"Michael Nalls","Center for Alzheimer's and Related Dementia","5/21/2026",2026,"May",5
"Andrew Han","Switchback Therapeutics","5/15/2026",2026,"May",5
"Haruki Watanabe","Okayama University Hospital","5/15/2026",2026,"May",5
"Brandon Sos","Neurocrine Biosciences","5/8/2026",2026,"May",5
"Yurii Chinenov","Hospital For Special Surgery","5/7/2026",2026,"May",5
"Laura Donlin","Hospital for Special Surgery","5/5/2026",2026,"May",5
"Dr. Stanley Nelson","UCLA","4/15/2026",2026,"Apr",4
